País;Tema;Indicador;1990;1995;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;Unidade;Multiplicador;Fonte
HT;População;Densidade demográfica;"251,28";"276,75";"303,35";"308,84";"314,28";"319,75";"325,16";"330,62";"336,22";"341,83";"347,43";"353,07";"357,14";"361,19";"366,78";"372,32";"377,82";"383,30";"388,75";"394,18";"399,58";"404,95";"410,26";;;hab/km²;1;"World Development Indicators. The World Bank. <https://data.worldbank.org/indicator/EN.POP.DNST>"
HT;População;Homens;"3424381";"3780740";"4150198";"4226169";"4301197";"4376534";"4451252";"4526364";"4603020";"4679659";"4756176";"4833100";"4890743";"4947739";"5023564";"5098458";"5172525";"5246167";"5319125";"5391671";"5463738";"5535128";"5605395";"5672850";"5738710";habitantes;1;"World Development Indicators. The World Bank. <https://data.worldbank.org/indicator/SP.POP.TOTL.MA.IN>"
HT;População;Mulheres;"3500949";"3846577";"4210027";"4285558";"4360349";"4435711";"4510238";"4585537";"4663269";"4741167";"4819071";"4897538";"4952137";"5006574";"5084975";"5162748";"5240216";"5317590";"5394724";"5471873";"5548683";"5625310";"5701407";"5774718";"5846285";habitantes;1;"World Development Indicators. The World Bank. <https://data.worldbank.org/indicator/SP.POP.TOTL.FE.IN>"
HT;População;População residente em área rural;"71,49";"67,41";"64,4";"62,75";"61,07";"59,36";"58,32";"57,36";"56,40";"55,43";"54,45";"53,47";"52,49";"51,51";"50,52";"49,54";"48,56";"47,57";"46,60";"45,65";"44,72";"43,81";"42,91";"42,04";"41,18";%;1;"World Development Indicators. The World Bank. <https://data.worldbank.org/indicator/SP.RUR.TOTL.ZS>"
HT;População;População residente em área urbana;"28,51";"32,59";"35,6";"37,25";"38,94";"40,65";"41,68";"42,64";"43,60";"44,57";"45,55";"46,53";"47,51";"48,49";"49,48";"50,46";"51,44";"52,43";"53,40";"54,35";"55,28";"56,19";"57,09";"57,96";"58,82";%;1;"World Development Indicators. The World Bank. <https://data.worldbank.org/indicator/SP.URB.TOTL.IN.ZS>"
HT;População;População total;"6925331";"7627316";"8360225";"8511728";"8661546";"8812245";"8961489";"9111900";"9266288";"9420826";"9575247";"9730638";"9842880";"9954312";"10108539";"10261206";"10412740";"10563757";"10713849";"10863543";"11012421";"11160438";"11306801";"11447569";"11584996";habitantes;1;"World Development Indicators. The World Bank. <https://data.worldbank.org/indicator/SP.POP.TOTL>"
HT;População;Taxa bruta de mortalidade;"14,03";"12,04";"10,34";"10,24";"10,02";"9,69";"10,18";"9,24";"9,08";"8,94";"8,85";"8,70";"17,74";"8,76";"8,49";"8,38";"8,24";"8,18";"8,16";"8,01";"8,00";"7,95";"8,18";"8,68";;por mil;1;"World Development Indicators. The World Bank. <https://data.worldbank.org/indicator/SP.DYN.CDRT.IN>"
HT;População;Taxa bruta de natalidade;"38,26";"34,23";"31,84";"30,99";"30,33";"29,90";"29,47";"29,02";"28,61";"28,18";"27,83";"27,62";"27,53";"27,20";"26,60";"26,09";"25,77";"25,51";"25,25";"24,98";"24,58";"24,30";"23,94";"23,50";;por mil;1;"World Development Indicators. The World Bank. <https://data.worldbank.org/indicator/SP.DYN.CBRT.IN>"
HT;População;Taxa média anual do crescimento da população;"2,06";"1,87";"1,83";"1,80";"1,74";"1,72";"1,68";"1,66";"1,68";"1,65";"1,63";"1,61";"1,15";"1,13";"1,54";"1,50";"1,47";"1,44";"1,41";"1,39";"1,36";"1,34";"1,30";"1,24";"1,19";%;1;"World Development Indicators. The World Bank. <https://data.worldbank.org/indicator/SP.POP.GROW>"
