País;Tema;Indicador;1990;1995;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;Unidade;Multiplicador;Fonte
CN;Economia;Chegada de turistas;;46387000;83444000;89013000;97908000;91662000;109038000;120292000;124942000;131873000;130027000;126476000;133762000;135423000;132405000;129078000;128499000;133820000;141774000;153260000;158606000;162538000;30402000;;;turistas;1;World Development Indicators. The World Bank. <https://data.worldbank.org/indicator/ST.INT.ARVL>. Acessado em: janeiro 2021
CN;Economia;Gastos públicos com educação;;1,84;;;;;;2,39;2,44;2,7;3,63;3,75;3,75;3,52;4,08;3,85;3,73;3,82;3,79;3,67;3,54;3,54;3,57;;;% do PIB;1;World Development Indicators. The World Bank. <https://data.worldbank.org/indicator/SE.XPD.TOTL.GD.ZS>
CN;Economia;Gastos públicos com saúde;;;0,99;0,97;1,11;1,25;1,3;1,37;1,39;1,43;1,74;2,15;2,2;2,33;2,54;2,69;2,79;2,97;2,89;2,87;2,92;3;3,06;;;% do PIB;1;World Development Indicators. The World Bank. <https://data.worldbank.org/indicator/SH.XPD.GHED.GD.ZS>
CN;Economia;Investimentos em pesquisa e desenvolvimento;;;0,89;0,94;1,06;1,12;1,21;1,31;1,37;1,37;1,45;1,66;1,71;1,78;1,91;2;2,02;2,06;2,1;2,12;2,14;2,24;2,4;;;% do PIB;1;World Development Indicators. The World Bank. <https://data.worldbank.org/indicator/GB.XPD.RSDV.GD.ZS>
CN;Economia;Mulheres de 15 anos ou mais de idade economicamente ativas;73,02;;70,57;;;;;;;;;;63,73;;;;;;;;;;;;;%;1;World Development Indicators. The World Bank. <https://data.worldbank.org/indicator/SL.TLF.CACT.FE.NE.ZS>
CN;Economia;PIB per capita;317,88;609,6;959,36;1053,11;1148,51;1288,64;1508,67;1753,41;2099,22;2693,96;3468,33;3832,23;4550,47;5614,39;6300,58;7020,39;7636,07;8016,45;8094,39;8817,05;9905,41;10143,86;10408,72;12617,5;12720,22;US$;1;World Development Indicators. The World Bank. <https://data.worldbank.org/indicator/NY.GDP.PCAP.CD>
CN;Economia;População de 15 anos ou mais de idade economicamente ativa;79,17;;76,82;76,46;75,66;74,99;74,24;74,24;73,73;73,18;72,83;72,46;70,96;70,84;70,7;70,68;70,63;70,69;70,89;;;;;;;%;1;World Development Indicators. The World Bank. <https://data.worldbank.org/indicator/SL.TLF.CACT.NE.ZS>
CN;Economia;Total de exportações;51519000000;1,2811E+11;1,11332E+11;1,18463E+11;1,4546E+11;3,88298E+11;5,25615E+11;6,9487E+11;8,9766E+11;1,12274E+12;1334555205546.61;1119090663054.52;1478072761421.33;1807805443488.65;1973516412824.49;2148588935109.43;2243761278997.21;2142753416452.3;1989518638921.98;2216213798034.65;2417442805605.76;2386640081644.25;2510014622024.19;3215838267844.58;3346875045582.92;US$;1;World Development Indicators. The World Bank. <https://data.worldbank.org/indicator/BX.GSR.MRCH.CD>
CN;Economia;Total de importações;42354000000;1,1006E+11;1,24897E+11;1,41031E+11;1,63481E+11;3,54608E+11;4,8072E+11;5,64742E+11;6,81974E+11;8,19891E+11;990087588240.07;883613955794.43;1239986291933.41;1579104690854.72;1661946659669.31;1789607637369.56;1808719657195.09;1566562344086.59;1500635639562.88;1740272384900.77;2037369286973.76;1993646753421.34;1998911642462.17;2653132321663.28;2678242314720.09;US$;1;World Development Indicators. The World Bank. <https://data.worldbank.org/indicator/BM.GSR.MRCH.CD>
CN;Economia;Total do PIB;3,60858E+11;7,34485E+11;1,21133E+12;1,3394E+12;1,47056E+12;1,66028E+12;1,95535E+12;2,28596E+12;2,75212E+12;3,55033E+12;4,59434E+12;5,10169E+12;6,08719E+12;7,55155E+12;8,53219E+12;9,57047E+12;1,04756E+13;1,10616E+13;1,12333E+13;1,23105E+13;1,38949E+13;1,428E+13;1,46877E+13;1,78205E+13;1,79632E+13;US$;1;World Development Indicators. The World Bank. <https://data.worldbank.org/indicator/NY.GDP.MKTP.CD>
